artwork_type_title,style_title,id,image_id,title,search_term,file_name
Painting,Impressionism,97292,0787ea3c-9c03-65a2-adeb-5f5343794324,Spring in France,Impressionism,0787ea3c-9c03-65a2-adeb-5f5343794324.jpg
Painting,Impressionism,59908,7e242ca2-5c5f-bb08-ccff-7e8ef645deaf,In the Café,Impressionism,7e242ca2-5c5f-bb08-ccff-7e8ef645deaf.jpg
Painting,Impressionism,122230,c964a2be-c766-4c22-e886-f8fc05502c80,Twilight,Impressionism,c964a2be-c766-4c22-e886-f8fc05502c80.jpg
Painting,Impressionism,121628,f7ef1f0f-c5c9-6794-9283-2e7ebcde95cd,Rehearsal of the Pasdeloup Orchestra at the Cirque d'Hiver,Impressionism,f7ef1f0f-c5c9-6794-9283-2e7ebcde95cd.jpg
Painting,Impressionism,64463,bb63a340-8c0f-3412-9342-ef6784e3d6b6,Hills of Byram,Impressionism,bb63a340-8c0f-3412-9342-ef6784e3d6b6.jpg
Painting,Impressionism,118979,80b95c4e-8bed-3e21-1573-b339c6cda0f4,"El Zocodover, Toledo, Spain",Impressionism,80b95c4e-8bed-3e21-1573-b339c6cda0f4.jpg
Painting,Impressionism,69774,1792802f-9146-cd55-2864-f5dc24c65377,North River Shad,Impressionism,1792802f-9146-cd55-2864-f5dc24c65377.jpg
Painting,Post-Impressionism,64724,0f2d999d-0173-2935-a6d0-0175bb97b2a9,The Home of the Heron,Impressionism,0f2d999d-0173-2935-a6d0-0175bb97b2a9.jpg
Painting,Impressionism,105462,b4ee4891-5d7b-11ad-93df-2b64e34de991,"The Little Pond, Appledore",Impressionism,b4ee4891-5d7b-11ad-93df-2b64e34de991.jpg
Painting,Modernism,201806,411dd5f9-8633-9dab-d64c-a038c0aa92b5,Landscape (recto),Impressionism,411dd5f9-8633-9dab-d64c-a038c0aa92b5.jpg
Painting,Impressionism,72191,4bef095d-3908-a6b4-be27-b0507898d339,"The Solemn Pledge, Taos Indians",Impressionism,4bef095d-3908-a6b4-be27-b0507898d339.jpg
Painting,Impressionism,55494,6efc1bea-c900-28c5-e02a-c14189b10fb3,Peach Blossoms,Impressionism,6efc1bea-c900-28c5-e02a-c14189b10fb3.jpg
Painting,Impressionism,28849,72a76270-d6f4-e744-d47b-307873a8e8ff,A City Park,Impressionism,72a76270-d6f4-e744-d47b-307873a8e8ff.jpg
Painting,Post-Impressionism,117700,be266c25-27f7-38fd-69fa-8efd1b985af2,On the Bank,Impressionism,be266c25-27f7-38fd-69fa-8efd1b985af2.jpg
Painting,Impressionism,87440,4c290ea6-7969-d1c8-3c4c-132bd99f629a,Jim and His Daughter,Impressionism,4c290ea6-7969-d1c8-3c4c-132bd99f629a.jpg
